Output,MAE,MSE,RMSE,R²
Output_1,0.3871571094084237,0.2579044543357493,0.5078429425873213,0.7981336589094868
Output_2,0.41892989858259044,0.3056939006953618,0.5528959221185863,0.8786566803926088
Output_3,0.4014389571108871,0.25924515865769526,0.5091612305131796,0.8279539202171341
Output_4,0.4556283368488258,0.3657095040007189,0.6047392032940472,0.9199519478019079
Output_5,0.4117684248490906,0.2770972859867313,0.5264003096377616,0.8212811279702512
